Round,Relative Time (ms),Value
0,61.918221950531006,33.89938735961914
1,137.8527545928955,13.068626403808594
2,206.75084900856018,2.372237205505371
3,270.0411937236786,2.0314741134643555
4,336.0449004173279,1.170775294303894
5,401.72879433631897,1.1064419746398926
6,468.06278705596924,0.7010743618011475
7,530.1376388072968,0.7010743618011475
8,592.5714762210846,0.7010743618011475
9,650.6857559680939,0.7010743618011475
10,712.0558958053589,0.7010743618011475
11,769.9020991325378,0.7010743618011475
12,830.390171289444,0.7010743618011475
13,894.2207183837891,0.7010743618011475
14,966.3604793548584,0.7010743618011475
15,1039.9174451828003,0.7010743618011475
16,1087.8948612213135,0.7010743618011475
17,1123.6293246746063,0.7010743618011475
18,1204.1463582515717,0.7010743618011475
19,1277.4930186271667,0.7010743618011475
20,1352.1036412715912,0.7010743618011475
21,1422.9991915225983,0.7010743618011475
22,1487.081170797348,0.7010743618011475
23,1548.954353094101,0.7010743618011475
24,1618.9390907287598,0.7010743618011475
25,1687.322803735733,0.7010743618011475
26,1756.5453796386719,0.7010743618011475
27,1814.0540964603424,0.7010743618011475
28,1850.7868797779083,0.7010743618011475
29,1914.6285433769226,0.7010743618011475
30,1981.3548679351807,0.7010743618011475
31,2048.9623730182648,0.7010743618011475
32,2112.873101711273,0.7010743618011475
33,2176.243959903717,0.7010743618011475
34,2239.285880804062,0.7010743618011475
35,2299.2574224472046,0.7010743618011475
36,2361.5218484401703,0.7010743618011475
37,2423.961106777191,0.7010743618011475
38,2514.1112678050995,0.7010743618011475
39,2603.6052894592285,0.7010743618011475
40,2684.669098138809,0.7010743618011475
41,2754.938544988632,0.7010743618011475
42,2832.1140642166138,0.7010743618011475
43,2900.601992368698,0.7010743618011475
44,2961.044907093048,0.7010743618011475
45,3032.0968284606934,0.7010743618011475
46,3103.0879180431366,0.7010743618011475
47,3177.722234725952,0.7010743618011475
48,3251.383962869644,0.7010743618011475
49,3319.6092071533203,0.7010743618011475
50,3350.762834072113,0.7010743618011475
51,3390.01837015152,0.7010743618011475
52,3449.3793754577637,0.7010743618011475
53,3508.833697080612,0.7010743618011475
54,3560.2013449668884,0.7010743618011475
55,3618.2868177890778,0.7010743618011475
56,3675.9075434207916,0.7010743618011475
57,3735.589745283127,0.7010743618011475
58,3804.684493303299,0.7010743618011475
59,3873.997887611389,0.7010743618011475
60,3941.498482942581,0.7010743618011475
61,4034.4082837104797,0.7010743618011475
62,4105.094432592392,0.7010743618011475
63,4165.597264766693,0.7010743618011475
64,4222.856601715088,0.7010743618011475
65,4291.118095397949,0.7010743618011475
66,4352.408360958099,0.7010743618011475
67,4414.479706525803,0.7010743618011475
68,4485.0688123703,0.7010743618011475
69,4552.5832052230835,0.7010743618011475
70,4622.69696855545,0.7010743618011475
71,4690.646813631058,0.7010743618011475
72,4760.248184919357,0.7010743618011475
73,4822.334774494171,0.7010743618011475
74,4894.250848054886,0.7010743618011475
75,4959.397951841354,0.7010743618011475
76,5026.612088441849,0.7010743618011475
77,5083.7989153862,0.7010743618011475
78,5143.342801809311,0.7010743618011475
79,5201.27348613739,0.7010743618011475
80,5254.811797380447,0.7010743618011475
81,5315.8409905433655,0.7010743618011475
82,5360.407030582428,0.7010743618011475
83,5441.1754286289215,0.7010743618011475
84,5529.615277767181,0.7010743618011475
85,5603.165416479111,0.7010743618011475
86,5664.550234794617,0.7010743618011475
87,5725.990096092224,0.7010743618011475
88,5788.6895916461945,0.7010743618011475
89,5846.2429740428925,0.7010743618011475
90,5906.897084236145,0.7010743618011475
91,5971.358241081238,0.7010743618011475
92,6034.400097131729,0.7010743618011475
93,6083.561260700226,0.7010743618011475
94,6176.031184911728,0.7010743618011475
95,6253.458476781845,0.7010743618011475
96,6324.099032402039,0.7010743618011475
97,6393.147446393967,0.7010743618011475
98,6463.068075418472,0.7010743618011475
99,6524.940574645996,0.7010743618011475
