Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,None,None,None,0,8,8,9,809,129.30841064453125
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,3,36,336,22.427934646606445
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,2,6,206,22.007492065429688
256,128,256,128,i0,k0,k1,i1,0,2,1,1,8,16,i0,j0,k0,k1,j1,i1,None,None,i0,256,4,15,7,1507,110.68557739257812
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,292.04803466796875
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,None,None,None,0,128,0,18,18,156.50938415527344
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,233.72666931152344
256,128,16384,2,k0,k1,i0,i1,2,2,0,0,16,8,k0,j0,k1,j1,i0,i1,j0,None,k0,256,8,0,6,6,146.8982696533203
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,64,2,i0,k0,j0,i1,j1,k1,i0,None,j0,64,128,0,11,11,156.7760467529297
512,64,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,7,18,718,91.21916198730469
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,128,8,0,26,26,17.288145065307617
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,24.1544246673584
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,7,36,736,18.92357063293457
512,64,128,256,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,31,18,3118,124.81342315673828
128,256,128,256,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,None,None,None,0,8,32,9,3209,160.3891143798828
8192,4,128,256,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,None,None,None,0,128,8,18,818,155.42971801757812
128,256,128,256,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,128,16,31,28,3128,258.366943359375
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,22.620441436767578
128,256,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,0,36,36,18.147296905517578
256,128,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,15,18,1518,91.00238800048828
128,256,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,8,36,836,265.0701904296875
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,8,3,36,336,16.65715980529785
256,128,256,128,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,None,None,i0,256,4,15,7,1507,74.80946350097656
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,64,2,i0,j0,j1,k0,i1,k1,None,None,None,0,8,8,9,809,121.89855194091797
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,4,32,j0,i0,i1,k0,j1,k1,None,None,None,0,128,0,18,18,76.36080169677734
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,128,0,11,11,98.10234069824219
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,2,64,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,119.47509002685547
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,2,64,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,127.51982116699219
128,256,8192,4,i0,k0,k1,i1,1,1,2,2,2,64,i0,j0,j1,k0,k1,i1,None,None,None,0,8,8,8,808,111.56775665283203
256,128,16384,2,k0,k1,i0,i1,2,2,0,0,16,8,j0,k0,k1,j1,i0,i1,j0,None,k0,256,8,0,6,6,175.32904052734375
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,64,2,i0,k0,j0,i1,k1,j1,i0,j1,j0,64,128,0,38,38,81.82881164550781
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,j1,16,8,1,27,127,19.942922592163086
8192,4,256,128,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,k0,8192,8,0,34,34,16.871885299682617
512,64,512,64,i0,i1,k0,k1,2,2,2,3,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,7,39,739,132.23666381835938
256,128,16384,2,k0,k1,i0,i1,2,3,1,1,16,8,k0,j0,k1,j1,i0,i1,j0,None,j1,8,8,3,17,317,125.22516632080078
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,32,26,3226,16.641679763793945
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,None,0,2,2,6,206,36.781341552734375
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,36,2436,17.466514587402344
256,128,256,128,i0,k0,k1,i1,0,2,1,1,8,16,i0,j0,k0,k1,j1,i1,None,None,None,0,4,16,7,1607,109.53385162353516
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,1,9,109,14.476301193237305
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,32,4,j0,i0,i1,k0,j1,k1,j0,None,None,0,128,0,18,18,224.29010009765625
2048,16,4096,8,k0,i0,k1,i1,1,3,0,2,64,2,k0,j0,i0,k1,j1,i1,j0,None,None,0,256,0,36,36,212.49766540527344
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,64,2,j0,i0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,289.5699462890625
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,128,4,0,26,26,19.363414764404297
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,1,4,6,406,22.571884155273438
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,1,36,136,18.50083351135254
512,64,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,2,15,18,1518,91.47252655029297
256,128,16384,2,k0,k1,i0,i1,2,2,0,0,16,8,k0,j0,k1,j1,i0,i1,j0,None,k0,256,16,0,6,6,273.944580078125
128,256,256,128,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,23,9,2309,16.98536491394043
8192,4,128,256,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,k0,8192,8,0,34,34,16.693891525268555
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,8,36,836,16.525636672973633
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,3,36,336,19.03356170654297
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,1,32,6,3206,26.333953857421875
128,256,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,8,6,806,20.247093200683594
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,None,0,2,16,6,1606,25.381961822509766
256,128,128,256,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,None,None,i0,128,4,23,7,2307,92.748291015625
8192,4,256,128,i0,i1,k0,k1,1,1,1,0,4,32,j0,i0,i1,k0,j1,k1,None,None,None,0,128,4,18,418,54.5384521484375
32768,1,256,128,i0,k0,i1,k1,2,4,4,1,64,2,i0,k0,j0,i1,k1,j1,i0,j1,j0,64,128,0,38,38,73.54674530029297
256,128,256,128,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,31,18,3118,98.55524444580078
32768,1,128,256,i0,k0,i1,k1,2,4,4,1,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,128,0,11,11,86.50314331054688
256,128,128,256,k0,k1,i0,i1,2,3,1,1,16,8,k0,j0,k1,j1,i0,i1,j0,None,j1,8,8,15,17,1517,116.39874267578125
128,256,128,256,i0,k0,i1,k1,0,2,1,1,2,64,j0,i0,j1,k0,i1,k1,None,None,i0,128,16,31,28,3128,140.78004455566406
256,128,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,0,9,9,12.320464134216309
256,128,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,16,26,1626,16.639759063720703
128,256,256,128,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,k0,128,8,31,34,3134,20.511199951171875
256,128,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,8,36,836,17.115007400512695
256,128,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,0,36,36,20.003841400146484
256,128,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,20,36,2036,18.688365936279297
128,256,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,1,36,136,20.418031692504883
256,128,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,256,4,0,26,26,20.530637741088867
256,128,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,1,16,6,1606,20.531124114990234
256,128,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,8,6,806,23.622556686401367
256,128,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,24,6,2406,22.807668685913086
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,None,0,2,16,6,1606,22.868749618530273
128,256,256,128,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,None,None,i0,256,4,31,7,3107,120.52239227294922
128,256,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,31,18,3118,94.29644012451172
256,128,512,64,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,2,31,18,3118,92.34519958496094
128,256,2048,16,i0,k0,i1,k1,2,4,4,1,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,128,0,11,11,80.5918960571289
256,128,8192,4,i0,k0,i1,k1,1,2,2,1,64,2,i0,j0,j1,k0,i1,k1,None,None,None,0,8,24,9,2409,128.34056091308594
256,128,128,256,i0,i1,k0,k1,1,2,1,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,23,18,2318,124.42192077636719
128,256,16384,2,k0,k1,i0,i1,2,3,1,1,16,8,k0,j0,k1,j1,i0,i1,j0,None,j1,8,8,7,17,717,221.17855834960938
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,64,2,i0,j0,j1,k0,i1,k1,i0,None,j0,64,8,1,9,109,20.403690338134766
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,16,8,k0,i0,k1,j0,j1,i1,None,None,None,0,8,32,26,3226,18.13801383972168
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,36,2436,17.827987670898438
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,8,7,36,736,16.772506713867188
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,32,4,i0,j0,k0,i1,k1,j1,None,None,None,0,1,4,6,406,57.973915100097656
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,32,4,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,46.69298553466797
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,32,4,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,6,1606,86.08837127685547
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,32,4,i0,j0,k0,i1,k1,j1,None,j1,None,0,2,2,6,206,53.82752227783203
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,j0,i1,j1,None,None,j0,16,8,3,6,306,27.967330932617188
128,256,32768,1,i0,k0,k1,i1,0,0,2,2,8,16,i0,k0,k1,j0,j1,i1,None,i1,i0,32768,4,0,28,28,18.431625366210938
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,j0,i0,k0,i1,k1,j1,None,None,None,0,1,4,6,406,39.047183990478516
128,256,16384,2,i0,i1,k0,k1,0,2,1,2,4,32,i0,j0,i1,k0,k1,j1,None,None,None,0,2,16,35,1635,23.10601043701172
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,k0,j0,i1,k1,j1,None,None,None,0,2,16,6,1606,25.596372604370117
16384,2,16384,2,i0,k0,k1,i1,0,2,2,1,4,32,i0,j0,k0,k1,i1,j1,None,j1,None,0,2,2,26,226,24.940074920654297
32768,1,2048,16,i0,i1,k0,k1,2,4,4,1,2,64,i0,i1,j0,k0,j1,k1,i0,None,j1,64,128,0,31,31,92.13213348388672
128,256,8192,4,i0,i1,k0,k1,1,2,2,1,64,2,i0,j0,i1,k0,j1,k1,None,None,None,0,8,8,29,829,120.76007843017578
128,256,8192,4,i0,k0,i1,k1,0,2,1,1,2,64,i0,j0,j1,k0,i1,k1,None,None,i0,8192,16,0,28,28,116.72034454345703
512,64,512,64,i0,k0,i1,k1,2,2,2,3,1,128,j0,i0,j1,k0,i1,k1,None,None,j1,128,4,7,29,729,123.09061431884766
128,256,8192,4,i0,k0,i1,k1,1,4,2,3,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,1,29,129,12.593570709228516
8192,4,256,128,k0,i0,k1,i1,1,3,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,6,2406,17.634279251098633
128,256,256,128,k0,i0,k1,i1,0,2,1,1,8,16,k0,i0,k1,i1,j0,j1,None,None,i0,256,8,15,15,1515,16.915237426757812
8192,4,256,128,k0,i0,k1,i1,2,3,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,1,26,126,32.6207275390625
8192,4,128,256,k0,i0,k1,i1,1,2,2,0,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,8,7,36,736,17.663015365600586
128,256,32768,1,k0,i0,k1,i1,4,2,2,2,8,16,k0,i0,k1,j0,j1,i1,None,None,j1,16,4,3,8,308,57.46702575683594
128,256,32768,1,k0,i0,k1,i1,1,0,0,1,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,128,8,0,6,6,18.654804229736328
128,256,16384,2,i0,k0,i1,k1,1,2,2,3,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,36,1636,22.624540328979492
16384,2,128,256,i0,k0,i1,k1,1,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,2,16,26,1626,26.251188278198242
256,128,256,128,i0,k0,k1,i1,1,2,1,2,16,8,i0,j0,k0,k1,j1,i1,None,None,j0,16,4,0,27,27,112.08401489257812
8192,4,2048,16,i0,i1,k0,k1,1,1,1,1,4,32,j0,i0,i1,k0,j1,k1,None,None,None,0,128,0,18,18,104.2123031616211
32768,1,2048,16,i0,k0,i1,k1,2,1,1,1,64,2,i0,k0,j0,i1,k1,j1,i0,j1,j0,64,128,0,5,5,69.8492202758789
512,64,512,64,i0,i1,k0,k1,1,2,2,2,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,2,15,19,1519,95.79903411865234
32768,1,2048,16,i0,k0,i1,k1,2,1,4,3,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,128,0,21,21,38.20317840576172
256,128,256,128,i0,k0,k1,i1,1,2,1,1,8,16,i0,j0,k0,k1,j1,i1,None,None,None,0,4,16,27,1627,71.38043975830078
128,256,8192,4,i0,k0,k1,i1,0,1,2,1,2,64,i0,j0,j1,k0,k1,i1,None,None,None,0,8,8,28,828,108.7669906616211
512,64,512,64,i0,i1,k0,k1,2,2,2,1,1,128,j0,i0,j1,i1,k0,k1,None,None,j1,128,4,7,39,739,138.62155151367188
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,1,9,109,12.401830673217773
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,None,k0,128,8,0,26,26,19.782344818115234
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,36,2436,20.05193328857422
8192,4,256,128,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,34,2434,16.457250595092773
8192,4,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,i0,j1,None,0,8,24,36,2436,86.25627136230469
128,256,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,i0,j1,j0,8,8,15,36,1536,18.994543075561523
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,i0,j1,j0,8,8,14,36,1436,130.43264770507812
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,i0,None,None,0,4,24,26,2426,18.19108772277832
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,32,27,3227,17.489852905273438
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,i0,16384,1,0,6,6,24.528383255004883
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,j1,i0,16384,2,0,6,6,22.829418182373047
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,i0,None,None,0,2,16,6,1606,2.1877856254577637
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,i0,16384,2,0,6,6,26.154441833496094
256,128,256,128,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,i0,None,None,0,4,16,7,1607,5.049980163574219
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,8,16,k0,i0,k1,j0,j1,i1,None,i1,j1,16,16,0,27,27,16.214170455932617
16384,2,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,512,0,6,6,25.290895462036133
128,256,16384,2,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,None,None,None,0,1,32,6,3206,22.17000389099121
8192,4,2048,16,i0,i1,k0,k1,1,1,1,0,4,32,j0,i0,i1,k0,j1,k1,None,None,None,0,64,1,18,118,74.84170532226562
32768,1,2048,16,i0,k0,i1,k1,2,4,4,1,2,64,i0,k0,j0,i1,j1,k1,i0,None,j1,64,64,0,11,11,87.88186645507812
16384,2,256,128,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,i0,None,None,0,2,8,6,806,2.2904269695281982
256,128,128,256,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,i0,None,None,0,4,32,7,3207,7.391607761383057
256,128,256,128,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,31,9,3109,21.946151733398438
256,128,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,0,36,36,20.47773551940918
8192,4,128,256,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,8,36,836,18.663942337036133
256,128,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,i0,None,None,0,2,24,6,2406,1.9596329927444458
128,256,256,128,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,16,34,1634,17.196426391601562
256,128,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,16,36,1636,18.18899154663086
256,128,256,128,k0,i0,k1,i1,0,2,1,1,8,16,k0,i0,k1,i1,j0,j1,None,None,i0,256,8,7,15,715,18.268890380859375
128,256,256,128,k0,i0,k1,i1,1,3,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,16,6,1606,18.358905792236328
256,128,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,8,36,836,18.133777618408203
256,128,32768,1,i0,k0,k1,i1,0,0,2,2,8,16,i0,k0,k1,j0,j1,i1,None,i1,i0,32768,4,0,28,28,15.874201774597168
256,128,32768,1,k0,i0,k1,i1,1,0,0,1,8,16,k0,i0,k1,j0,j1,i1,None,i1,k0,256,8,0,6,6,17.188358306884766
128,256,256,128,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,0,36,36,20.361331939697266
256,128,128,256,k0,i0,k1,i1,1,2,2,2,8,16,k0,i0,k1,i1,j0,j1,None,None,j1,16,16,0,36,36,22.963653564453125
256,128,32768,1,k0,i0,k1,i1,2,0,0,2,8,16,k0,i0,k1,j0,j1,i1,None,None,k0,256,8,0,26,26,18.529499053955078
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,32,4,i0,j0,k0,i1,k1,j1,i0,None,None,0,2,16,6,1606,5.312777042388916
256,128,256,128,i0,k0,k1,i1,0,2,1,1,8,16,i0,j0,k0,k1,j1,i1,i0,None,None,0,4,16,7,1607,4.753259181976318
256,128,8192,4,i0,k0,i1,k1,1,2,2,1,64,2,i0,j0,j1,k0,i1,k1,i0,None,j0,64,8,0,9,9,13.070972442626953
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,16,8,k0,i0,k1,j0,j1,i1,None,i1,j0,16,16,0,27,27,17.436372756958008
128,256,256,128,k0,i0,k1,i1,0,2,1,1,16,8,k0,i0,k1,i1,j0,j1,None,None,i0,256,8,15,15,1515,20.57292366027832
256,128,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,8,36,836,18.59069061279297
128,256,32768,1,k0,i0,k1,i1,2,0,0,2,16,8,k0,i0,k1,j0,j1,i1,i0,None,None,0,4,24,26,2426,17.59343719482422
128,256,32768,1,k0,i0,k1,i1,1,0,0,1,16,8,k0,i0,k1,j0,j1,i1,None,i1,k0,128,8,0,6,6,18.429716110229492
256,128,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,16,20,36,2036,19.007877349853516
256,128,256,128,k0,i0,k1,i1,1,2,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,8,0,36,36,20.060850143432617
128,256,32768,1,i0,k0,k1,i1,1,0,2,2,8,16,i0,k0,k1,j0,j1,i1,None,None,None,0,8,32,8,3208,16.873367309570312
8192,4,256,128,k0,i0,k1,i1,1,3,2,2,8,16,k0,i0,k1,j0,i1,j1,None,None,None,0,8,24,16,2416,21.978322982788086
128,256,32768,1,k0,k1,i0,i1,1,0,0,1,8,16,k0,k1,i0,j0,j1,i1,None,i1,k0,128,8,0,6,6,14.824467658996582
16384,2,128,256,i0,k0,i1,k1,0,2,2,2,4,32,i0,j0,k0,i1,k1,j1,i0,None,None,0,2,16,16,1616,1.8306392431259155
256,128,256,128,i0,k0,k1,i1,1,2,2,2,16,8,i0,j0,k0,k1,j1,i1,i0,None,None,0,4,16,28,1628,5.277381420135498
128,256,8192,4,i0,k0,i1,k1,1,2,2,2,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,1,9,109,12.08521556854248
8192,4,256,128,k0,i0,k1,i1,1,3,1,2,8,16,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,5,2405,18.635942459106445
256,128,32768,1,k0,i0,k1,i1,4,0,2,4,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,16,28,1628,19.05971336364746
8192,4,128,256,k0,i0,k1,i1,1,3,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,j0,16,8,7,6,706,19.070114135742188
128,256,256,128,i0,k0,i1,k1,0,1,1,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,j1,64,8,23,18,2318,13.262837409973145
128,256,32768,1,k0,i0,k1,i1,1,0,0,1,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,8,32,6,3206,18.871580123901367
8192,4,256,128,k0,i0,k1,i1,1,3,2,2,16,8,k0,i0,k1,i1,j0,j1,None,None,None,0,8,24,6,2406,18.88060760498047
128,256,32768,1,i0,k0,k1,i1,2,0,4,4,8,16,i0,k0,k1,j0,j1,i1,None,i1,j1,16,4,3,30,330,18.238666534423828
128,256,256,128,k0,i0,k1,i1,2,2,2,2,8,16,k0,i0,k1,i1,j0,j1,i0,j1,j0,8,8,15,16,1516,19.728168487548828
8192,4,128,256,k0,i0,k1,i1,1,2,0,2,8,16,k0,i0,k1,i1,j0,j1,None,None,k0,8192,16,0,34,34,18.635311126708984
16384,2,128,256,i0,k0,i1,k1,0,1,2,2,4,32,i0,j0,k0,i1,k1,j1,i0,None,j1,32,2,7,6,706,1.8503353595733643
256,128,256,128,i0,k0,k1,i1,0,2,1,1,16,8,i0,j0,k0,k1,j1,i1,i0,None,None,0,4,16,7,1607,5.017135143280029
256,128,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,None,0,8,24,9,2409,13.34389591217041
128,256,8192,4,i0,k0,i1,k1,1,2,2,1,2,64,i0,j0,j1,k0,i1,k1,i0,None,None,0,8,8,9,809,12.992026329040527
128,256,32768,1,k0,i0,k1,i1,2,0,1,2,8,16,k0,i0,k1,j0,j1,i1,None,None,None,0,16,16,27,1627,18.08602523803711
