Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
128,256,128,256,i0,k0,k1,i1,0,1,1,2,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,128,16,31,37,3137,208.52635192871094
256,128,2048,16,i0,k0,k1,i1,0,1,1,2,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,2048,16,0,37,37,223.0385284423828
128,256,128,256,i0,k0,k1,i1,0,1,1,2,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,128,16,31,37,3137,211.07383728027344
256,128,128,256,i0,k0,k1,i1,0,1,1,1,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,128,16,15,37,1537,197.8530731201172
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,2048,8,0,37,37,222.274169921875
256,128,2048,16,k0,i0,k1,i1,1,1,0,1,32,4,j0,k0,i0,k1,j1,i1,None,None,k0,256,16,0,16,16,209.9493865966797
256,128,2048,16,i0,k0,k1,i1,0,1,1,1,32,4,j0,i0,k0,k1,j1,i1,None,None,i0,2048,8,0,37,37,209.43191528320312
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,32,4,j0,k0,i0,k1,j1,i1,None,None,k0,128,16,1,16,116,221.03277587890625
128,256,128,256,i0,k0,k1,i1,0,1,1,1,32,4,j0,i0,k0,k1,j1,i1,j0,None,None,0,16,16,37,1637,174.091552734375
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,32,4,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,16,0,37,37,191.85023498535156
128,256,2048,16,i0,k0,k1,i1,0,1,1,1,32,4,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,8,0,37,37,100.8700180053711
512,64,128,256,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,16,6,1606,49.65488052368164
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,8,32,6,3206,106.51862335205078
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,24,7,2407,86.1748046875
512,64,128,256,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,k0,512,4,7,37,737,53.12945556640625
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,24,7,2407,62.62359619140625
128,256,128,256,i0,k0,i1,k1,0,1,1,1,4,32,j0,i0,k0,j1,i1,k1,None,None,i0,128,16,31,38,3138,107.97787475585938
512,64,8192,4,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,None,0,4,24,37,2437,68.50084686279297
128,256,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,j1,k1,i1,None,None,i0,128,32,15,7,1507,87.98796081542969
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,3,16,316,80.5821304321289
256,128,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,i0,j0,k0,k1,j1,i1,None,None,i0,2048,16,0,37,37,52.042083740234375
256,128,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,j1,k1,i1,None,None,i0,128,16,15,7,1507,82.55853271484375
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,3,16,316,78.35189819335938
256,128,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,i0,k0,j0,k1,j1,i1,None,None,i0,2048,16,0,37,37,56.026676177978516
256,128,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,i0,j0,k0,k1,j1,i1,None,None,i0,2048,8,0,37,37,63.891517639160156
128,256,2048,16,k0,i0,k1,i1,1,1,0,1,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,4,7,16,716,95.98477172851562
128,256,2048,16,k0,k1,i0,i1,2,1,0,1,4,32,j0,k0,j1,k1,i0,i1,None,None,k0,128,16,1,16,116,158.4854278564453
128,256,128,256,i0,k0,i1,k1,0,1,1,1,4,32,j0,i0,k0,i1,j1,k1,j0,None,None,0,16,16,18,1618,180.17327880859375
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,2,64,j0,k0,i0,j1,k1,i1,None,None,None,0,4,24,7,2407,102.0198974609375
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,j1,k1,i1,None,None,k0,512,4,0,6,6,94.51958465576172
128,256,2048,16,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,j0,None,k0,128,16,1,16,116,147.04283142089844
