File Name,Num Rows,Num Cols,Num Nonzero,Sparsity,Filesize
debr,1048576,1048576,4194298,3.8146918086567894e-06,20971512
delaunay_n17,131072,131072,786352,4.577171057462692e-05,3669712
lhr71,70304,70304,1528092,0.00030916436588851974,6393600
kron_g500-logn16,65536,65536,4912469,0.0011437733191996813,19912036
Andrews,60000,60000,760154,0.00021115388888888888,3280632
soc-sign-Slashdot090221,82144,82144,549202,8.13917555860553e-05,2525400
c-72,84064,84064,707558,0.00010012486498585956,3166504
delaunay_n19,524288,524288,3145646,1.1443793482612818e-05,14679752
conf5_0-4x4-18,3072,3072,119808,0.0126953125,491536
conf5_0-4x4-26,3072,3072,119808,0.0126953125,491536
t2em,921632,921632,4590832,5.404758699235828e-06,22049872
Hamrle3,1447360,1447360,5514242,2.6322836707820385e-06,27846424
rgg_n_2_19_s0,524288,524288,6539532,2.3790678824298084e-05,28255296
rim,22560,22560,1014951,0.001994191611966199,4150060
crashbasis,160000,160000,1750416,6.837562499999999e-05,7641680
delaunay_n20,1048576,1048576,6291372,5.721969500882551e-06,29359808
Franz11,47104,30144,329728,0.00023221868365180467,1507344
delaunay_n18,262144,262144,1572792,2.2887135855853558e-05,7339760
mhd4800a,4800,4800,102252,0.004438020833333333,428224
ccc,49152,49152,147456,6.103515625e-05,786448
mt2010,132288,132288,638668,3.649507457772272e-05,3083840
conf5_4-8x8-05,49152,49152,1916928,0.00079345703125,7864336
lowThrust_6,16928,16928,207349,0.0007235868147001333,897124
ch8-8-b5,564480,376320,3386880,1.594387755102041e-05,15805456
net100,29920,29920,2033200,0.0022712080700048615,8252496
delaunay_n15,32768,32768,196548,0.00018304958939552307,917280
pfinan512,74752,74752,596992,0.00010683729358228562,2686992
jnlbrng1,40000,40000,199200,0.00012450000000000002,956816
shyy161,76480,76480,329762,5.637737489277148e-05,1624984
ch8-8-b4,376320,117600,1881600,4.2517006802721085e-05,9031696
conf6_0-4x4-20,3072,3072,119808,0.0126953125,491536
oh2010,365344,365344,1768240,1.3247601386164375e-05,8534352
conf5_4-8x8-10,49152,49152,1916928,0.00079345703125,7864336
net150,43520,43520,3121200,0.00164794921875,12658896
pf2177,9728,9728,725144,0.007662617268654778,2939504
dixmaanl,60000,60000,299998,8.333277777777778e-05,1440008
structure_4x4_8,32768,32768,5368704,0.004999995231628418,21605904
conf5_0-4x4-22,3072,3072,119808,0.0126953125,491536
vanbody,47072,47072,2336898,0.001054664808146717,9535896
image_interp,240000,120000,711683,2.4711215277777776e-05,3806748
msc10848,10848,10848,1229778,0.010450266514605686,4962520
Lin,256000,256000,1766400,2.6953125000000003e-05,8089616
G_n_pin_pout,100000,100000,1002396,0.0001002396,4409600
cca,49152,49152,139264,5.7644314236111116e-05,753680
ecology1,1000000,1000000,4996000,4.996e-06,23984016
cfd1,70656,70656,1828364,0.00036623898085313944,7596096
mri1,65536,147456,589824,6.103515625e-05,2621456
obstclae,40000,40000,197608,0.000123505,950448
rgg_n_2_16_s0,65536,65536,684254,0.0001593152992427349,2999176
Ill_Stokes,20896,20896,191368,0.0004382712665539424,849072
finance256,37376,37376,298496,0.00021367458716457124,1343504
majorbasis,160000,160000,1750416,6.837562499999999e-05,7641680
torsion1,40000,40000,197608,0.000123505,950448
ch8-8-b3,117600,18816,470400,0.00021258503401360543,2352016
conf6_0-8x8-20,49152,49152,1916928,0.00079345703125,7864336
delaunay_n16,65536,65536,393150,9.153736755251884e-05,1834760
LeGresley_87936,87936,87936,593276,7.672260966159854e-05,2724864
apache1,80800,80800,542184,8.304700519556907e-05,2491952
rgg_n_2_15_s0,32768,32768,320480,0.00029847025871276855,1413008
lhr71c,70304,70304,1528092,0.00030916436588851974,6393600
conf6_0-4x4-30,3072,3072,119808,0.0126953125,491536
diag,1000000,1000000,1000000,1e-06,8000016
lp_maros_r7,3136,9408,144848,0.00490952120644176,591952
random1,4096,4096,167772,0.009999990463256836,687488
bcsstk38,8032,8032,355460,0.005509895180235234,1453984
conf5_0-4x4-10,3072,3072,119808,0.0126953125,491536
ch7-8-b5,141120,141120,846720,4.2517006802721085e-05,3951376
conf5_4-8x8-20,49152,49152,1916928,0.00079345703125,7864336
conf6_0-8x8-80,49152,49152,1916928,0.00079345703125,7864336
randomlarge01,32768,32768,1073741,0.0009999992325901985,4426052
bfly,49152,49152,196608,8.138020833333333e-05,983056
rgg_n_2_17_s0,131072,131072,1457506,8.483801502734423e-05,6354328
preferentialAttachment,100000,100000,999970,9.999700000000001e-05,4399896
lowThrust_11,18368,18368,223801,0.0006633431996943632,968692
conf5_0-4x4-14,3072,3072,119808,0.0126953125,491536
conf5_4-8x8-15,49152,49152,1916928,0.00079345703125,7864336
nasa4704,4704,4704,104756,0.004734174707297885,437856
conf6_0-8x8-30,49152,49152,1916928,0.00079345703125,7864336
net50,16320,16320,945200,0.003548815359477124,3846096
random10,4096,4096,1677721,0.09999996423721313,6727284
finan512,74752,74752,596992,0.00010683729358228562,2686992
Trefethen_20000,20000,20000,554466,0.001386165,2297880
shallow_water1,81920,81920,327680,4.8828125e-05,1638416
rat,3136,9408,268908,0.009114447756143274,1088192
shallow_water2,81920,81920,327680,4.8828125e-05,1638416
smallworld,100000,100000,999996,9.99996e-05,4400000
rgg_n_2_18_s0,262144,262144,3094566,4.5031862100586295e-05,13426856
