P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
4,256,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,16,24,33,2433,1.4620633125305176
2,32,128,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,8,8,13,813,1.5326498746871948
8,8,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,2,32,13,3213,1.5455477237701416
8,64,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,4,8,13,813,1.478098750114441
16,4,32,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,32,2,13,213,1.4252009391784668
4,4,32,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,16,1,13,113,1.4522318840026855
16,8,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,24,13,2413,1.4230695962905884
4,16,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,2,23,223,1.3610726594924927
2,128,128,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,128,2,13,213,1.3124648332595825
2,256,128,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,128,4,13,413,1.3107753992080688
4,256,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,24,13,2413,1.3834962844848633
2,32,128,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,128,0,3,3,1.357321858406067
4,64,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,16,16,23,1623,1.3836177587509155
2,16,16,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,64,0,3,3,1.3830937147140503
2,16,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,4,13,413,1.5604562759399414
16,4,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,4,16,13,1613,1.3356729745864868
4,64,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,1,23,123,1.3743823766708374
1,8,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,32,0,33,33,1.4762964248657227
8,4,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,4,8,33,833,1.542636513710022
1,32,64,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,8,4,3,403,1.5555520057678223
2,256,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,8,24,33,2433,1.5760523080825806
8,256,16,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,16,8,33,833,1.463581919670105
4,256,32,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,32,32,33,3233,1.3341788053512573
2,256,64,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,8,33,833,1.2937513589859009
2,16,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,1,23,123,1.8778669834136963
2,64,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,32,4,33,433,1.369377613067627
4,16,64,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,16,4,13,413,1.3830339908599854
4,128,64,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,128,4,33,433,1.3282924890518188
1,64,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,4,13,413,1.3523441553115845
2,128,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,8,13,813,1.367437720298767
16,4,16,i1,k1,j1,k0,i0,j0,0,0,0,0,i1,48,8,8,3,803,1.726396083831787
2,16,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,2,13,213,1.4300968647003174
32,2,16,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,1,24,13,2413,1.5392245054244995
1,64,64,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,128,0,3,3,1.55216646194458
2,128,1,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,128,2,23,223,1.9462552070617676
4,256,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,24,23,2423,1.3601959943771362
4,32,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,16,8,23,823,1.3909912109375
8,2,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,16,1,33,133,1.3393422365188599
8,2,64,i1,i0,k1,j1,k0,j0,0,1,0,1,i1,48,128,0,34,34,1.3804759979248047
32,128,16,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,32,33,3233,1.3482155799865723
2,256,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,8,24,33,2433,1.4400559663772583
1,128,1,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,2,23,223,1.9056459665298462
4,128,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,8,23,823,1.3557283878326416
32,2,32,i1,i0,k1,j1,k0,j0,1,1,0,1,i1,48,16,4,34,434,1.3368943929672241
1,16,64,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,128,0,3,3,1.3757399320602417
4,32,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.3241782188415527
8,256,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,16,8,33,833,1.684876561164856
8,256,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,32,13,3213,1.60964035987854
2,64,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,16,13,1613,1.4793131351470947
4,128,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,16,13,1613,1.4538981914520264
4,64,32,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,2,8,13,813,1.6480345726013184
4,16,64,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,1,23,123,1.5232819318771362
16,256,16,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,16,16,33,1633,1.7170411348342896
4,128,64,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,32,16,13,1613,1.4130388498306274
1,64,128,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,64,1,13,113,1.6769578456878662
4,32,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,8,13,813,14.088322639465332
64,4,32,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,2,8,14,814,1.5952372550964355
64,4,16,i1,i0,k1,j1,k0,j0,1,0,0,1,i1,48,4,24,14,2414,2.7626779079437256
32,4,32,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,2,24,14,2414,1.6295541524887085
4,4,64,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,16,1,14,114,1.6419247388839722
1,32,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,4,8,33,833,1.774640440940857
4,2,16,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,32,0,14,14,1.5478599071502686
2,32,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,8,33,833,1.60409414768219
16,2,32,i1,k1,i0,j1,k0,j0,1,1,0,1,i1,48,128,0,34,34,2.2958474159240723
1,256,16,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,1,3,103,16.028657913208008
2,16,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,4,13,413,1.4786157608032227
16,64,4,i1,k1,k0,i0,j1,j0,0,1,1,0,i1,48,4,16,33,1633,4.233177185058594
2,8,1,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,2.1868016719818115
16,2,64,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,4,8,33,833,1.486514925956726
4,256,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,32,13,3213,1.3862900733947754
256,2,32,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,2,16,13,1613,1.4366118907928467
64,8,64,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,2,16,13,1613,1.352867603302002
8,16,32,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,1,8,33,833,1.6370937824249268
2,32,64,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,0,3,3,1.3364250659942627
2,32,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,16,4,33,433,1.4201503992080688
32,2,64,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,8,8,13,813,1.4095654487609863
4,128,64,i1,i0,j1,k1,k0,j0,0,1,0,0,i1,48,4,8,13,813,1.4783706665039062
4,32,64,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,128,1,13,113,1.4257844686508179
4,16,32,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,2,32,13,3213,1.5702943801879883
4,256,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,256,4,33,433,1.4950482845306396
2,64,64,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,4,32,13,3213,1.582643747329712
4,32,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,8,16,33,1633,1.573652982711792
8,256,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,32,3,3203,1.3643308877944946
16,2,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,1,13,113,1.3440966606140137
64,2,32,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,32,4,14,414,1.2815237045288086
8,2,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,256,0,33,33,1.2809903621673584
32,8,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,2,8,13,813,1.4190945625305176
16,4,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,8,8,33,833,1.640056848526001
16,128,8,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,4,32,33,3233,1.5663114786148071
8,64,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,32,16,33,1633,1.2756394147872925
8,128,32,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,64,16,3,1603,1.4316133260726929
4,128,32,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,128,4,13,413,1.378343939781189
8,2,64,i1,i0,j1,k1,k0,j0,0,1,0,0,i1,48,16,1,13,113,1.4091475009918213
8,256,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,128,16,3,1603,1.234334111213684
4,128,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,128,4,33,433,1.3740367889404297
2,16,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,0,23,23,1.3597755432128906
8,64,8,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,16,23,1623,1.379791259765625
2,128,64,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,128,2,13,213,1.328126072883606
8,128,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,2,32,33,3233,1.5807844400405884
32,4,32,i1,i0,k1,k0,j1,j0,1,1,0,1,i1,48,32,4,4,404,1.5121508836746216
2,64,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,8,16,33,1633,1.4593724012374878
4,8,64,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,128,0,13,13,1.2811766862869263
32,8,64,i1,i0,j1,k1,k0,j0,1,0,0,0,i1,48,1,16,33,1633,1.3996723890304565
4,32,64,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,256,0,13,13,1.361527681350708
4,16,64,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,64,1,33,133,1.298911213874817
4,128,8,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,128,4,23,423,1.2836722135543823
4,16,64,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,256,0,33,33,1.3411977291107178
8,128,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,16,23,1623,1.232738971710205
128,16,16,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,8,16,33,1633,1.2625954151153564
4,32,128,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,32,4,13,413,1.350919246673584
64,8,4,i1,k1,i0,k0,j1,j0,0,1,0,0,i1,48,4,8,3,803,1.6140716075897217
2,64,32,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,16,8,13,813,1.4792919158935547
4,256,64,i1,k1,k0,i0,j1,j0,0,0,0,0,i1,48,256,4,3,403,1.3186101913452148
64,16,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,32,13,3213,1.303467869758606
2,64,64,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,32,4,3,403,1.3779757022857666
2,64,64,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,256,0,13,13,1.255811333656311
4,128,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,128,4,33,433,1.255264401435852
8,64,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,8,23,823,1.2366117238998413
2,64,16,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,128,1,3,103,1.327202558517456
128,16,16,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,8,16,13,1613,1.2980515956878662
32,4,128,i1,k1,j1,k0,i0,j0,0,0,0,1,i1,48,16,8,4,804,1.2631276845932007
4,2,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,0,33,33,1.1780468225479126
16,256,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,8,13,813,1.1705557107925415
4,256,16,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,16,3,1603,1.1925511360168457
8,2,128,i1,i0,j1,k1,k0,j0,1,0,0,0,i1,48,64,0,33,33,1.1999900341033936
2,256,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,2,3,203,1.202478051185608
2,256,32,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,256,2,23,223,1.223783254623413
4,2,128,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,128,0,33,33,1.2248865365982056
1,8,128,i1,j1,k1,i0,k0,j0,0,1,0,0,i1,48,256,0,33,33,1.242263674736023
2,64,128,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.2478407621383667
4,128,64,i1,j1,k1,i0,k0,j0,0,1,0,0,i1,48,64,8,33,833,1.254324197769165
4,128,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,16,23,1623,1.2594014406204224
8,256,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,8,23,823,1.2631949186325073
2,64,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.2297608852386475
2,32,128,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,128,0,3,3,1.2928078174591064
8,256,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,64,32,33,3233,1.260948657989502
64,4,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,16,13,1613,1.2350000143051147
64,2,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,32,4,13,413,1.21913743019104
4,256,64,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,32,32,33,3233,1.4063783884048462
1,16,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,4,13,413,1.8006298542022705
32,8,64,i1,k1,i0,k0,j1,j0,1,0,1,0,i1,48,8,32,33,3233,inf
4,4,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,4,4,33,433,1.524209976196289
2,256,1,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,16,23,1623,1.894113540649414
8,4,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,4,8,13,813,1.4574726819992065
8,256,8,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,2,24,33,2433,1.7264153957366943
2,128,1,i1,k1,k0,i0,j1,j0,1,0,0,0,i1,48,256,1,3,103,2.2316696643829346
8,256,1,i1,k1,i0,k0,j1,j0,0,0,1,0,i1,48,64,32,33,3233,2.4036543369293213
2,128,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,32,8,23,823,1.427076816558838
2,32,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,4,16,23,1623,2.1354973316192627
2,4,1,i1,i0,k1,k0,j1,j0,0,1,0,1,i1,48,256,0,4,4,14.971960067749023
32,4,16,i1,k1,k0,i0,j1,j0,0,0,1,0,i1,48,16,8,13,813,inf
1,64,1,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,128,0,23,23,1.9201325178146362
2,32,32,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,16,4,13,413,1.4589329957962036
4,64,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,16,16,33,1633,1.4581941366195679
2,256,32,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,8,24,13,2413,3.0116629600524902
32,4,64,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,32,4,33,433,1.6817185878753662
1,32,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,8,4,23,423,1.6226699352264404
1,64,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,4,23,423,1.5007363557815552
8,128,8,i1,k1,i0,k0,j1,j0,0,0,1,0,i1,48,16,24,33,2433,1.5131616592407227
4,64,4,i1,k1,i0,k0,j1,j0,1,0,0,0,i1,48,128,2,23,223,1.3813931941986084
4,32,4,i1,k1,k0,i0,j1,j0,1,0,0,1,i1,48,256,0,4,4,1.5421228408813477
2,64,1,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,128,1,23,123,11.49722957611084
2,128,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,8,32,3,3203,1.960363507270813
4,32,4,i1,k1,k0,i0,j1,j0,1,0,0,1,i1,48,128,1,4,104,1.5374350547790527
8,8,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,4,16,33,1633,1.4163280725479126
8,1,1,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,0,3,3,1.9448870420455933
1,64,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,8,8,23,823,2.0810306072235107
8,256,16,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,32,24,33,2433,1.5762752294540405
4,128,8,i1,k1,i0,k0,j1,j0,1,0,0,0,i1,48,128,4,23,423,1.5317200422286987
4,128,32,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,128,4,33,433,1.3651225566864014
2,32,1,i1,k1,i0,k0,j1,j0,1,1,0,0,i1,48,16,4,3,403,1.7883752584457397
4,256,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,8,8,23,823,1.530552864074707
1,32,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,8,13,813,1.872937560081482
2,32,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,2,13,213,1.4730604887008667
128,4,32,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,32,16,33,1633,1.8166680335998535
1,16,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,1,13,113,1.442615270614624
4,8,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,2,13,213,1.3831185102462769
1,64,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,0,23,23,1.4485437870025635
2,16,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,2,23,223,1.9627559185028076
32,8,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,4,24,33,2433,1.8046332597732544
4,8,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,64,0,13,13,2.322258472442627
1,256,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,8,32,33,3233,1.568438172340393
32,64,16,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,2,24,13,2413,2.1136984825134277
8,256,64,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,2,24,13,2413,1.535775899887085
8,2,64,i1,i0,j1,k1,k0,j0,1,1,0,0,i1,48,4,4,13,413,1.4322996139526367
4,256,64,i1,k1,j1,k0,i0,j0,1,0,0,0,i1,48,256,4,3,403,1.392293930053711
256,4,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,8,13,813,2.1129000186920166
16,128,16,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,4,32,13,3213,2.096714496612549
8,128,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,8,8,33,833,2.834092140197754
4,16,128,i1,j1,i0,k1,k0,j0,1,1,0,1,i1,48,1,24,14,2414,3.029057502746582
1,16,128,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,4,4,14,414,11.442105293273926
4,8,128,i1,i0,k1,j1,k0,j0,0,1,0,1,i1,48,4,8,34,834,1.9112614393234253
64,2,64,i1,i0,k1,k0,j1,j0,1,1,0,1,i1,48,128,1,4,104,3.7321901321411133
2,32,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,16,4,3,403,1.8309428691864014
32,1,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,0,3,3,3.2048847675323486
1,32,1,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,16,2,23,223,2.0116209983825684
8,128,16,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,8,8,33,833,1.6358275413513184
8,1,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,256,0,3,3,2.0239391326904297
256,1,32,i1,i0,j1,k1,k0,j0,1,0,0,0,i1,48,32,8,33,833,4.0978102684021
64,1,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,128,0,13,13,3.3578245639801025
2,32,16,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,1,3,103,1.458686113357544
2,128,1,i1,k1,i0,k0,j1,j0,1,0,0,0,i1,48,128,2,23,223,2.0043623447418213
256,128,16,k1,k0,i1,j1,i0,j0,0,1,0,1,i1,48,256,8,4,804,inf
1,16,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,0,23,23,2.6145150661468506
128,64,2,k1,i1,k0,i0,j1,j0,0,1,1,1,i1,48,2,16,34,1634,inf
8,128,32,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,8,8,33,833,1.576134204864502
256,32,2,k1,i1,k0,i0,j1,j0,0,1,0,1,i1,48,32,16,24,1624,inf
2,16,128,i1,j1,i0,k1,k0,j0,1,1,0,1,i1,48,1,32,14,3214,13.822541236877441
4,8,32,i1,i0,k1,k0,j1,j0,0,1,0,1,i1,48,16,2,4,204,2.0513739585876465
2,32,1,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,8,8,23,823,1.955886721611023
1,16,128,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,64,0,13,13,12.304730415344238
8,64,16,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,16,32,33,3233,24.471271514892578
4,8,64,i1,i0,k1,k0,j1,j0,1,1,0,1,i1,48,4,8,4,804,1.977721929550171
2,128,64,i1,k1,i0,k0,j1,j0,0,0,0,0,i1,48,128,2,23,223,1.9413065910339355
2,16,128,i1,j1,i0,k1,k0,j0,0,1,0,1,i1,48,1,32,14,3214,13.726239204406738
1,16,128,i1,j1,k1,i0,k0,j0,0,0,0,1,i1,48,16,1,14,114,14.119688034057617
4,8,64,i1,i0,k1,k0,j1,j0,1,0,0,1,i1,48,64,0,24,24,3.2543041706085205
2,256,128,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,64,8,33,833,2.2057602405548096
128,16,2,k1,i1,k0,i0,j1,j0,0,1,0,0,i1,48,2,24,23,2423,inf
1,32,4,k1,k0,i1,i0,j1,j0,0,1,0,1,i1,48,16,2,24,224,inf
128,256,2,k1,k0,i1,i0,j1,j0,0,1,1,1,i1,48,16,8,34,834,inf
2,64,32,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,64,2,3,203,13.184752464294434
256,32,2,k1,i1,k0,i0,j1,j0,0,1,0,1,i1,48,16,32,24,3224,inf
2,128,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,16,16,3,1603,3.262007713317871
4,32,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,2,24,33,2433,1.670888900756836
8,16,16,i1,k1,k0,j1,i0,j0,1,0,0,0,i1,48,32,4,23,423,1.7697923183441162
4,128,4,i1,k1,k0,i0,j1,j0,1,0,0,0,i1,48,256,2,3,203,1.5378303527832031
4,64,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,256,1,33,133,1.469024419784546
2,32,64,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,128,0,33,33,1.36800217628479
4,32,32,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,32,4,33,433,1.4439291954040527
8,256,1,i1,k1,i0,k0,j1,j0,1,0,1,0,i1,48,16,8,33,833,2.28642201423645
8,64,16,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,32,16,33,1633,1.4866647720336914
4,64,64,i1,j1,k1,k0,i0,j0,0,0,0,0,i1,48,32,8,3,803,1.4646713733673096
4,4,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,16,1,33,133,1.4469249248504639
4,16,64,i1,j1,k1,i0,k0,j0,1,0,0,0,i1,48,256,0,13,13,1.4280827045440674
4,2,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,64,0,13,13,1.3845477104187012
1,64,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,32,2,3,203,1.3821170330047607
8,8,64,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,64,1,13,113,1.370392918586731
2,128,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,32,8,3,803,1.7677528858184814
8,128,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,2,32,13,3213,2.3636090755462646
8,32,16,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,2,8,33,833,1.4666309356689453
16,64,16,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,32,13,3213,1.44840407371521
4,64,8,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,1,23,123,1.8446004390716553
2,32,1,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,8,8,3,803,1.8293946981430054
16,8,32,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,2,24,33,2433,1.8079423904418945
4,32,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,24,13,2413,2.505678653717041
8,2,1,i1,i0,k1,k0,j1,j0,1,1,0,1,i1,48,64,0,4,4,3.4069881439208984
2,256,64,i1,k1,i0,j1,k0,j0,1,0,0,0,i1,48,16,32,13,3213,1.4999279975891113
2,16,8,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,2,16,13,1613,2.4953484535217285
1,16,64,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,8,2,3,203,1.6164382696151733
32,4,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,32,13,3213,2.580709934234619
8,256,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,24,13,2413,1.5421417951583862
256,2,32,i1,j1,i0,k1,k0,j0,1,0,0,1,i1,48,2,16,34,1634,1.7515159845352173
8,64,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,2,16,33,1633,1.623939037322998
4,4,64,i1,i0,k1,j1,k0,j0,0,0,0,1,i1,48,4,4,14,414,1.6241601705551147
1,64,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,4,13,413,1.551139235496521
32,128,32,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,1,16,13,1613,1.8064393997192383
16,8,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,4,32,33,3233,1.5069471597671509
