P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
1,256,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,32,8,13,813,1.3500176668167114
2,64,64,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.3390156030654907
8,128,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,32,23,3223,1.3433492183685303
64,4,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,32,13,3213,1.28694748878479
4,64,64,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,128,2,33,233,1.3489563465118408
8,256,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,32,24,13,2413,1.334521770477295
4,32,16,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,64,2,3,203,1.2948328256607056
2,128,128,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,256,1,13,113,1.3151357173919678
4,8,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.3040227890014648
4,4,64,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,128,0,13,13,1.2833796739578247
64,4,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,16,13,1613,1.2839020490646362
16,64,16,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,16,24,33,2433,1.3024543523788452
4,8,64,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,4,13,413,1.3104536533355713
4,256,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,8,13,813,1.3167362213134766
1,32,128,i1,k1,i0,k0,j1,j0,0,1,0,0,i1,48,128,0,3,3,1.312134861946106
32,4,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,8,13,813,1.3111850023269653
64,64,16,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,4,24,13,2413,1.3947652578353882
4,32,128,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,2,33,233,1.3122612237930298
4,2,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.3619147539138794
128,2,16,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,16,13,1613,1.3973239660263062
4,2,32,i1,i0,k1,j1,k0,j0,1,0,0,1,i1,48,256,0,14,14,1.3803645372390747
2,256,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,128,4,33,433,1.3124523162841797
2,32,128,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.3091936111450195
2,128,128,i1,j1,i0,k1,k0,j0,0,0,0,0,i1,48,128,2,33,233,1.3538458347320557
1,16,128,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,128,0,33,33,1.3672453165054321
2,32,128,i1,k1,i0,j1,k0,j0,0,1,0,0,i1,48,256,0,33,33,1.2740709781646729
8,8,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,64,1,33,133,1.254045009613037
8,64,4,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,4,23,423,1.22604238986969
4,64,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,128,2,33,233,1.195440649986267
16,2,64,i1,i0,j1,k1,k0,j0,0,1,0,0,i1,48,64,0,13,13,1.1837167739868164
16,256,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,128,32,23,3223,1.1738773584365845
4,64,16,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,1,23,123,1.2185204029083252
4,128,128,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,128,4,33,433,1.2149949073791504
8,64,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,128,4,33,433,1.1915082931518555
2,256,16,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,256,2,3,203,1.1707499027252197
2,16,64,i1,k1,i0,j1,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.1538218259811401
2,16,64,i1,k1,i0,k0,j1,j0,1,0,0,0,i1,48,256,0,23,23,1.2204738855361938
8,16,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,64,2,13,213,1.1837148666381836
8,128,8,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,4,23,423,1.186086893081665
